GeneSymbol,N_SNPs,Threshold_Used,Mean_F_stat,Is_Weak_Instrument,MR_Method,MR_Beta,MR_SE,MR_CI_Lower,MR_CI_Upper,MR_Pvalue,Cochran_Q,Cochran_Q_Pval,Top_Instrument_SNP,MR_FDR,Gene Name,Matrisome Division,Matrisome Category,logFC,Direction,P.Value,adj.P.Val,FDR_Significant (<0.05),Probe ID
LOX,1,5.0e-08,46.39108321,False,Wald Ratio,0.002149901337142423,0.0063148796902844405,-0.010227262855815081,0.014527065530099926,0.7335176052445429,0.0,1.0,rs840461,0.9357488313814454,lysyl oxidase,Matrisome-associated,ECM Regulators,2.16197,UP,0.0331,0.82192,NO,215446_PM_s_at
ANGPT1,4,5.0e-08,595.127108005,False,IVW,-0.0002473756176523952,0.0009139205907704954,-0.002038659975562566,0.0015439087402577757,0.8041952178375633,3.1153766582171065,0.37417618075539383,rs1494973,0.9568569809945543,angiopoietin 1,Matrisome-associated,Secreted Factors,-1.33952667,DOWN,0.0197,0.70037,NO,205608_PM_s_at
SERPINA1,1,5.0e-08,3567.075625,False,Wald Ratio,0.000183622488126302,0.0007800637266666757,-0.0013453024161403824,0.0017125473923929864,0.8139027761673241,0.0,1.0,rs8008743,0.9591154352991779,"serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1",Matrisome-associated,ECM Regulators,0.787334,UP,0.0307,0.80269,NO,211428_PM_at
CLEC3B,3,5.0e-08,834.0345764866667,False,IVW,0.0004285309409478257,0.0017505097835210416,-0.003002468234753416,0.003859530116649067,0.8294343625475267,6.874910176419993,0.03214639104641981,rs9873373,0.962758041780629,"C-type lectin domain family 3, member B",Matrisome-associated,ECM-affiliated Proteins,-1.90583267,DOWN,0.00309,0.32706,NO,205200_PM_at
PLXNA4,1,5.0e-08,282.44835844,False,Wald Ratio,0.00048193081407417324,0.0024083153736651048,-0.0042383673183094325,0.005202228946457778,0.841393635408427,0.0,1.0,rs11765742,0.9661113016340559,plexin A4,Matrisome-associated,ECM-affiliated Proteins,-0.83897833,DOWN,0.0275,0.78181,NO,232317_PM_at
CRELD1,2,5.0e-08,807.0157658449999,False,IVW,0.00018738092994333388,0.0010942400842047654,-0.001957329635098006,0.0023320914949846736,0.864032715523595,0.09669465931367031,0.7558328179705542,rs1631344,0.9734912069881383,cysteine-rich with EGF-like domains 1,Core matrisome,ECM Glycoproteins,-1.26197,DOWN,0.000295,0.08869,NO,203368_PM_at
THBS3,3,5.0e-08,1172.933494,False,IVW,0.0003237935306933523,0.001736505435439212,-0.003079757122767503,0.0037273441841542076,0.8692822590393323,10.131269581283442,0.006309904163105617,rs4971093,0.9749948700666127,thrombospondin 3,Core matrisome,ECM Glycoproteins,1.15780833,UP,0.00815,0.49792,NO,209561_PM_at
THBS1,2,5.0e-08,1410.31708346,False,IVW,-0.0001255601653904916,0.0008860088484485669,-0.001862137508349683,0.0016110171775686995,0.8873056420554779,0.6548250976571703,0.41839284525087184,rs28790585,0.9795070179222832,thrombospondin 1,Core matrisome,ECM Glycoproteins,2.079993,UP,0.0162,0.65724,NO,215775_PM_at
OGFOD2,1,5.0e-08,50.70009616,False,Wald Ratio,0.0007688603119759772,0.00750001474135057,-0.013931168581071138,0.015468889205023094,0.9183482987752534,0.0,1.0,rs7312955,0.9860056201415013,2-oxoglutarate and iron-dependent oxygenase domain containing 2,Matrisome-associated,ECM Regulators,0.94807817,UP,0.0319,0.81129,NO,219245_PM_s_at
FGF2,1,5.0e-08,200.11780369000002,False,Wald Ratio,-0.00027972122046317395,0.0028391703877012156,-0.005844495180357556,0.005285052739431208,0.9215176704781145,0.0,1.0,rs308403,0.9860056201415013,fibroblast growth factor 2 (basic),Matrisome-associated,Secreted Factors,-1.63036433,DOWN,0.000239,0.07829,NO,204422_PM_s_at
CLEC11A,1,5.0e-08,1061.5215610000002,False,Wald Ratio,0.00012970832225178098,0.0014145085597078691,-0.0026427284547756425,0.0029021450992792043,0.9269375840930503,0.0,1.0,rs141369989,0.9881984241770064,"C-type lectin domain family 11, member A",Matrisome-associated,ECM-affiliated Proteins,3.07216072,UP,7.64e-05,0.04223,YES,211709_PM_s_at
POMZP3,4,5.0e-08,1882.6133982450003,False,IVW,-0.00013225984822080387,0.001788985388805242,-0.003638671210279078,0.00337415151383747,0.9457195084907091,30.147651879824455,1.2848021997413639e-06,rs150542665,0.9907992025902662,"POM (POM121 homolog, rat) and ZP3 fusion",Core matrisome,ECM Glycoproteins,-0.95845757,DOWN,0.0498,0.90439,NO,204148_PM_s_at
MEGF6,1,5.0e-08,573.96180625,False,Wald Ratio,5.9770008224915356e-05,0.0009046788444923188,-0.0017134005269800294,0.00183294054342986,0.9473239635106991,0.0,1.0,rs28447582,0.9912447032290824,multiple EGF-like-domains 6,Matrisome-associated,Secreted Factors,1.4137225,UP,0.0165,0.66047,NO,213942_PM_at
MMP14,1,5.0e-08,84.55722024999999,False,Wald Ratio,0.00028049757118481613,0.0046200287453899095,-0.008774758769779407,0.009335753912149039,0.9515874738556991,0.0,1.0,rs2073345,0.9919426272367338,matrix metallopeptidase 14 (membrane-inserted),Matrisome-associated,ECM Regulators,2.17859517,UP,0.0365,0.83588,NO,202827_PM_s_at
MMRN2,1,5.0e-08,60.02375624999999,False,Wald Ratio,-8.530912776074496e-05,0.005963108030476072,-0.011773000867493846,0.011602382611972356,0.9885857318311662,0.0,1.0,rs75038196,0.9988317430854268,multimerin 2,Core matrisome,ECM Glycoproteins,-1.68784,DOWN,0.00834,0.50451,NO,236262_PM_at
MMP28,2,5.0e-08,103.84139827999999,False,IVW,-9.513252387096149e-06,0.0029938834365589796,-0.0058775247880426965,0.0058584982832685034,0.9974646760335997,0.09591649514099107,0.7567861496687082,rs4796105,0.9996797096921403,matrix metallopeptidase 28,Matrisome-associated,ECM Regulators,-1.21676267,DOWN,0.0048,0.39007,NO,239272_PM_at
C17orf58,1,1.0e-05 (relaxed),26.161179039999997,False,Wald Ratio,-2.119905295256402e-05,0.0068422063309695625,-0.013431923461652905,0.013389525355747778,0.9975279362861584,0.0,1.0,rs75482863,0.9996797096921403,,,,,,,,,
